province,date_death_report,deaths,cumulative_deaths
Alberta,08/03/2021,6,1920
Alberta,09/03/2021,6,1926
Alberta,10/03/2021,2,1928
Alberta,11/03/2021,5,1933
Alberta,12/03/2021,2,1935
Alberta,13/03/2021,5,1940
Alberta,14/03/2021,6,1946
Alberta,15/03/2021,3,1949
Alberta,16/03/2021,3,1952
Alberta,17/03/2021,4,1956
Alberta,18/03/2021,1,1957
Alberta,19/03/2021,0,1957
Alberta,20/03/2021,4,1961
Alberta,21/03/2021,2,1963
Alberta,22/03/2021,5,1968
Alberta,23/03/2021,3,1971
Alberta,24/03/2021,2,1973
Alberta,25/03/2021,3,1976
Alberta,26/03/2021,3,1979
Alberta,27/03/2021,1,1980
Alberta,28/03/2021,3,1983
Alberta,29/03/2021,0,1983
Alberta,30/03/2021,4,1987
Alberta,31/03/2021,3,1990
Alberta,01/04/2021,4,1994
Alberta,02/04/2021,0,1994
Alberta,03/04/2021,0,1994
Alberta,04/04/2021,0,1994
Alberta,05/04/2021,4,1998
Alberta,06/04/2021,3,2001
Alberta,07/04/2021,1,2002
Alberta,08/04/2021,3,2005
Alberta,09/04/2021,2,2007
Alberta,10/04/2021,5,2012
Alberta,11/04/2021,1,2013
Alberta,12/04/2021,5,2018
Alberta,13/04/2021,3,2021
Alberta,14/04/2021,8,2029
Alberta,15/04/2021,5,2034
Alberta,16/04/2021,0,2034
Alberta,17/04/2021,3,2037
Alberta,18/04/2021,3,2040
Alberta,19/04/2021,3,2043
Alberta,20/04/2021,5,2048
Alberta,21/04/2021,0,2048
British Columbia,08/03/2020,1,1
British Columbia,09/03/2020,0,1
British Columbia,10/03/2020,0,1
British Columbia,11/03/2020,0,1
British Columbia,12/03/2020,0,1
British Columbia,13/03/2020,0,1
British Columbia,14/03/2020,0,1
British Columbia,15/03/2020,0,1
British Columbia,16/03/2020,3,4
British Columbia,17/03/2020,3,7
British Columbia,18/03/2020,0,7
British Columbia,19/03/2020,1,8
British Columbia,20/03/2020,1,9
British Columbia,21/03/2020,1,10
British Columbia,22/03/2020,0,10
British Columbia,23/03/2020,3,13
British Columbia,24/03/2020,0,13
British Columbia,25/03/2020,1,14
British Columbia,26/03/2020,0,14
British Columbia,27/03/2020,2,16
British Columbia,28/03/2020,1,17
British Columbia,29/03/2020,0,17
British Columbia,30/03/2020,2,19
British Columbia,31/03/2020,5,24
British Columbia,01/04/2020,1,25
British Columbia,02/04/2020,6,31
British Columbia,03/04/2020,4,35
British Columbia,04/04/2020,3,38
British Columbia,05/04/2020,0,38
British Columbia,06/04/2020,1,39
